year,bill_no,bill_sponsor,party,committee,witness_against,witness_against_org,law
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Jack Atterbury,Associated General Contractors of Missouri,no
2013,368,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Tim Fischesser,self,no
2013,368,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Jim Durham,Community Association Institute,no
2013,334,Scott Sifton,D,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,335,Scott Sifton,D,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,7,David Pearce,R,Education,none,none,no
2013,3,Scott Rupp,R,Education,none,none,no
2013,9,David Pearce,R,Education,none,none,yes
2013,169,Maria Chappelle-Nadal,D,Education,none,none,no
2013,193,Kurt Schaefer,R,Education,none,none,no
2013,125,Jamilah Nasheed,D,Education,Ray Cummings,American Federation of Teachers St. Louis Local 420,yes
2013,242,Mike Kehoe,R,Education,none,none,no
2013,211,Scott Rupp,R,Education,none,none,no
2013,132,Joseph Keaveny,D,Education,none,none,no
2013,133,Joseph Keaveny,D,Education,none,none,no
2013,210,John Lamping,R,Education,Donna Petiford,Missouri Congress of Parents and Teachers,no
2013,210,John Lamping,R,Education,Alex Curchin,Missouri Chamber of Commerce and Industry,no
2013,210,John Lamping,R,Education,Mike Lodewegen,School Administrators Coalition,no
2013,210,John Lamping,R,Education,Michael Reid,Missouri School Boards' Association,no
2013,210,John Lamping,R,Education,Rusty Monhollon,Missouri Department of Higher Education,no
2013,210,John Lamping,R,Education,Christina Barger,Lee's Summit R-7,no
2013,210,John Lamping,R,Education,Christina Barger,Cooperating School Districts of Greater Kansas City,no
2013,210,John Lamping,R,Education,Jim Moody,Civic Council of Greater Kansas City,no
2013,210,John Lamping,R,Education,Jeff Klein,Park Hill School District,no
2013,210,John Lamping,R,Education,Jeff Klein,Cooperating School Districts of Greater Kansas City,no
2013,210,John Lamping,R,Education,Margie Vandeven,Missouri Department of Secondary and Elementary Education,no
2013,210,John Lamping,R,Education,Cathy Cartier,Missouri State Teacher of the Year,no
2013,210,John Lamping,R,Education,Nicole Williams,St. Louis Public Schools,no
2013,210,John Lamping,R,Education,Carolyn Nixon,Willard R-II School District,no
2013,210,John Lamping,R,Education,Lisa Merideth,Parkway School District,no
2013,210,John Lamping,R,Education,Tricia Workman,St. Louis Regional Chamber,no
2013,210,John Lamping,R,Education,Otto Fajen,Missouri National Education Association,no
2013,210,John Lamping,R,Education,Earl Simms,Missouri Charter Public School Association,no
2013,210,John Lamping,R,Education,Katherine Casas,Childrens Education Council of Missouri,no
2013,210,John Lamping,R,Education,Don Senti,Cooperating School Districts of Greater St. Louis,no
2013,293,David Pearce,R,Education,none,none,no
2013,258,Paul LeVota,D,Education,none,none,yes
2013,67,Bob Dixon,R,Education,none,none,no
2013,378,David Pearce,R,Education,none,none,no
2013,381,Will Kraus,R,Education,Robin Smith,Cerner Corporation,yes
2013,410,Mike Kehoe,R,Education,none,none,no
2013,437,David Pearce,R,Education,John Bardgett,MCCA,no
2013,408,Ed Emery,R,Education,Mike Wood,Missouri State Teachers Association,no
2013,408,Ed Emery,R,Education,Mike Lodewegen,School Administrators Coalition,no
2013,408,Ed Emery,R,Education,Carl Peterson,self,no
2013,408,Ed Emery,R,Education,Otto Fajen,Missouri National Education Association,no
2013,408,Ed Emery,R,Education,Bert Kimble,Cooperating School Districts of Greater Kansas City,no
2013,408,Ed Emery,R,Education,Luana Gifford,American Federation of Teachers Missouri,no
2013,408,Ed Emery,R,Education,Mary Armstrong,American Federation of Teachers Missouri,no
2013,408,Ed Emery,R,Education,Ray Cummings,self,no
2013,344,Mike Parson,R,Education,Michael Reid,Missouri School Boards' Association,no
2013,344,Mike Parson,R,Education,Deanne Hemphill,Cooperating School Districts of Greater St. Louis,no
2013,344,Mike Parson,R,Education,Brett Kimble,Cooperating School Districts of Greater Kansas City,no
2013,344,Mike Parson,R,Education,Carl Peterson,self,no
2013,344,Mike Parson,R,Education,Ray Cummings,self,no
2013,344,Mike Parson,R,Education,Otto Fajen,Missouri National Education Association,no
2013,344,Mike Parson,R,Education,Mike Wood,Missouri State Teachers Association,no
2013,344,Mike Parson,R,Education,Mary Armstrong,American Federation of Teachers Missouri,no
2013,344,Mike Parson,R,Education,Mike Lodewegen,School Administrators Coalition,no
2013,2,Scott Rupp,R,Financial and Governmental Organizations and Elections,none,none,no
2013,82,Kurt Schaefer,R,Financial and Governmental Organizations and Elections,none,none,no
2013,58,Gary Romine,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,80,Gary Romine,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,17,Brian Munzlinger,R,Financial and Governmental Organizations and Elections,Ronald Lankford,Missouri Department of Secondary and Elementary Education,yes
2013,17,Brian Munzlinger,R,Financial and Governmental Organizations and Elections,Jim Moody,Civic Council of Greater Kansas City,yes
2013,17,Brian Munzlinger,R,Financial and Governmental Organizations and Elections,Patrick Williams,Superintendent of Kirksville Public Schools,yes
2013,17,Brian Munzlinger,R,Financial and Governmental Organizations and Elections,Patrick Williams,Missouri Department of Secondary and Elementary Education,yes
2013,17,Brian Munzlinger,R,Financial and Governmental Organizations and Elections,Chuck Stockton,Macon R-I Schools,yes
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,John B. Scott,Missouri Secretary of State's Office,no
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,Denise Lieberman,Advancement Project,no
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,Denise Lieberman,Missouri Voter Protection Coalition,no
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,Nancy Copenhaver,League of Women Voters of Missouri,no
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,Steven Carroll,ACLU of Missouri,no
2013,27,Will Kraus,R,Financial and Governmental Organizations and Elections,Otto Fajen,Missouri National Education Association,no
2013,65,Bob Dixon,R,Financial and Governmental Organizations and Elections,none,none,no
2013,116,Will Kraus,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,129,David Sater,R,Financial and Governmental Organizations and Elections,David Klarich,Missouri Association of Trial Attorneys,yes
2013,53,John Lamping,R,Financial and Governmental Organizations and Elections,none,none,no
2013,54,John Lamping,R,Financial and Governmental Organizations and Elections,none,none,no
2013,79,John Lamping,R,Financial and Governmental Organizations and Elections,none,none,no
2013,94,Jolie Justus,D,Financial and Governmental Organizations and Elections,none,none,no
2013,145,Gina Walsh,D,Financial and Governmental Organizations and Elections,none,none,no
2013,135,David Sater,R,Financial and Governmental Organizations and Elections,John B. Scott,Missouri Secretary of State's Office,no
2013,135,David Sater,R,Financial and Governmental Organizations and Elections,Harry Otto,Missouri State Auditor's Office,no
2013,177,Eric Schmitt,R,Financial and Governmental Organizations and Elections,none,none,no
2013,234,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Mo McCullough,Missouri Psychiatric Association,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,James Wolfe,Missouri State Medical Association,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,John J. Dougherty,Missouri Association of Osteopathic Physicians and Surgeons,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,John J. Dougherty,Kansas City University of Medicine & Biosciences College of Osteopathic Medicine,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Conrad Balcer,self,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Arthur Freeland,Missouri Academy of Family Physicians,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Theresa Garcia,Missouri Academy of Family Physicians,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Susan Heasley,self,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Mary Faller,Missouri Society of Anesthesiologists,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Jorgen Schlemeier,Washington University Physicians,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Elliot Korn,Missouri Society of Eye Physicians & Surgeons,no
2013,167,David Sater,R,Financial and Governmental Organizations and Elections,Brian Bowles,Missouri Association of Osteopathic Physicians and Surgeons,no
2013,235,Mike Cunningham,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,254,David Pearce,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,302,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,no
2013,303,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,no
2013,304,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,no
2013,305,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,no
2013,306,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,yes
2013,343,Mike Parson,R,Financial and Governmental Organizations and Elections,Thomas P. Curran,St. Louis County,no
2013,384,Scott Rupp,R,Financial and Governmental Organizations and Elections,Bill Ratfliff,Missouri Bankers Association,no
2013,384,Scott Rupp,R,Financial and Governmental Organizations and Elections,Keith Thornburg,Missouri Bankers Association,no
2013,255,Eric Schmitt,R,Financial and Governmental Organizations and Elections,none,none,no
2013,170,Maria Chappelle-Nadal,D,Financial and Governmental Organizations and Elections,none,none,yes
2013,219,David Sater,R,Financial and Governmental Organizations and Elections,none,none,no
2013,330,Jay Wasson,R,Financial and Governmental Organizations and Elections,Brad Bates,Missouri Association of Osteopathic Physicians and Surgeons,yes
2013,370,Jay Wasson,R,Financial and Governmental Organizations and Elections,none,none,no
2013,314,Wayne Wallingford,R,Financial and Governmental Organizations and Elections,none,none,no
2013,289,Scott Sifton,D,Financial and Governmental Organizations and Elections,none,none,no
2013,244,Kurt Schaefer,R,Financial and Governmental Organizations and Elections,none,none,no
2013,354,Eric Schmitt,R,Financial and Governmental Organizations and Elections,Dave Overfelt,Missouri Retailers Association,no
2013,354,Eric Schmitt,R,Financial and Governmental Organizations and Elections,Dave Overfelt,Missouri Grocers Association,no
2013,455,Brian Nieves,R,Financial and Governmental Organizations and Elections,Otto Fajen,Missouri National Education Association,no
2013,375,Brian Nieves,R,Financial and Governmental Organizations and Elections,John B. Scott,Missouri Secretary of State's Office,no
2013,375,Brian Nieves,R,Financial and Governmental Organizations and Elections,Mark Rhoads,Missouri Association of County Clerks and Election Authorities,no
2013,386,Paul LeVota,D,Financial and Governmental Organizations and Elections,Melodie A. Powell,Kansas City Board of Election Commissioners,no
2013,386,Paul LeVota,D,Financial and Governmental Organizations and Elections,Michael Gosnell,self,no
2013,386,Paul LeVota,D,Financial and Governmental Organizations and Elections,Tammy Brown,self,no
2013,395,Will Kraus,R,Financial and Governmental Organizations and Elections,none,none,no
2013,405,David Sater,R,Financial and Governmental Organizations and Elections,none,none,no
2013,320,Kurt Schaefer,R,Financial and Governmental Organizations and Elections,none,none,no
2013,37,Wayne Wallingford,R,General Laws,none,none,no
2013,72,Kurt Schaefer,R,General Laws,none,none,yes
2013,75,Dan Brown,R,General Laws,Krista Meyer,Missouri State Teachers Association,yes
2013,101,Jay Wasson,R,General Laws,none,none,no
2013,150,Brian Munzlinger,R,General Laws,Caleb-Michael Files,self,no
2013,114,Eric Schmitt,R,General Laws,none,none,no
2013,164,Gina Walsh,D,General Laws,none,none,no
2013,218,Paul LeVota,D,General Laws,none,none,no
2013,266,Brian Nieves,R,General Laws,Jeff Howell,self,no
2013,266,Brian Nieves,R,General Laws,Johanna Derda,"American Academy of Pediatricians, Missouri chapter",no
2013,266,Brian Nieves,R,General Laws,Pat Strader,"American Academy of Pediatricians, Missouri chapter",no
2013,266,Brian Nieves,R,General Laws,Otto Fajen,Missouri National Education Association,no
2013,269,Brian Nieves,R,General Laws,none,none,no
2013,271,Brian Nieves,R,General Laws,none,none,no
2013,239,Ed Emery,R,General Laws,none,none,no
2013,265,Brian Nieves,R,General Laws,none,none,no
2013,267,Brian Nieves,R,General Laws,Ann Lear,ACLU of Missouri,no
2013,272,Brian Nieves,R,General Laws,none,none,no
2013,325,Brian Nieves,R,General Laws,none,none,no
2013,268,Brian Nieves,R,General Laws,none,none,no
2013,270,Brian Nieves,R,General Laws,none,none,no
2013,358,Jason Holsman,D,General Laws,Leslie Holloway,Missouri Farm Bureau,no
2013,358,Jason Holsman,D,General Laws,Abram Messer,Missouri Family Network,no
2013,412,Mike Kehoe,R,General Laws,David Wolfe,Urban Chestnut Brewing Company,no
2013,412,Mike Kehoe,R,General Laws,Ted Bowers,Anheuser-Busch,no
2013,412,Mike Kehoe,R,General Laws,David Stokes,Show Me Institute,no
2013,412,Mike Kehoe,R,General Laws,Bruce Hillis,Missouri Society for Elimination of Guilds and Cartels,no
2013,412,Mike Kehoe,R,General Laws,Dave Overfelt,Missouri Retailers Association,no
2013,412,Mike Kehoe,R,General Laws,Rachel Payton,Americans for Prosperity,no
2013,466,Kurt Schaefer,R,General Laws,Daryl Duwe,USAsam LLC,no
2013,467,Kurt Schaefer,R,General Laws,none,none,no
2013,352,Brad Lager,R,General Laws,none,none,no
2013,124,Maria Chappelle-Nadal,D,General Laws,Abram Messer,Missouri Family Network,no
2013,124,Maria Chappelle-Nadal,D,General Laws,Abram Messer,Missourians for Personal Safety,no
2013,124,Maria Chappelle-Nadal,D,General Laws,Marc Perez,2nd Amendment supporter,no
2013,124,Maria Chappelle-Nadal,D,General Laws,Steve Moore,self,no
2013,206,Rob Schaaf,R,General Laws,none,none,no
2013,374,Brian Nieves,R,General Laws,Bert Vecolani,St. Louis Science Center,no
2013,18,Brian Munzlinger,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,61,Joseph Keaveny,D,Governmental Accountability and Fiscal Oversight,none,none,no
2013,66,Bob Dixon,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Brian Treece,Missouri Teamsters,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Otto Fajen,Missouri National Education Association,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Bruce Holt,International Union of Painters and Allied Trades,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Scott Ramshaw,Plumbers & Pipefitters #562,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Michael Louis,Missouri AFL-CIO,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Clark Brown,Service Employees International Union State Council,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Richard Craighead,United Steelworkers District 11,no
2013,71,Mike Parson,R,Governmental Accountability and Fiscal Oversight,Shannon Weber,Carpenters' District Council of St. Louis and Vicinity,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Clark Brown,Service Employees International Union State Council,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Bruce Holt,International Union of Painters and Allied Trades,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Richard Craighead,United Steelworkers District 11,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Scott Ramshaw,Plumbers & Pipefitters #562,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Otto Fajen,Missouri National Education Association,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Richard Martin,American Federation of Teachers Missouri,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Stephanie Huffman,self,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Charles Delaney,27th Circuit Childrens Division,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Luana Gifford,American Federation of Teachers Missouri,no
2013,29,Dan Brown,R,Governmental Accountability and Fiscal Oversight,Michael Louis,Missouri AFL-CIO,no
2013,42,Brian Munzlinger,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,191,John Lamping,R,Governmental Accountability and Fiscal Oversight,none,none,yes
2013,236,Mike Parson,R,Governmental Accountability and Fiscal Oversight,none,none,yes
2013,291,Scott Rupp,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,339,Gary Romine,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,346,S. Kiki Curls,D,Governmental Accountability and Fiscal Oversight,none,none,no
2013,471,Scott Rupp,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,472,Scott Rupp,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,478,John Lamping,R,Governmental Accountability and Fiscal Oversight,none,none,no
2013,128,David Sater,R,Governmental Accountability and Fiscal Oversight,Dave Overfelt,Missouri Association of Realtors,no
