year,bill_no,bill_sponsor,party,committee,witness_for,witness_for_org,law
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Bert Kimble,Sonny's Solid Waste Service,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Harry Otto,Missouri State Auditor's Office,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Derrick Stanley,WCA,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",David Klindt,Association of Missouri Electric Cooperatives,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Richard Moore,CenturyLink,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",John Davidson,self,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Chuck Simino,MCTA,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Terry Bassham,Kansas City Power and Light,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Mike Palmer,Empire District Electric,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Warner Baxter,Ameren Missouri,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Matt Doell,Sachs Electric Co.,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Matt Doell,National Electrical Contractors Association,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Britt Smith,Missouri Society of Professional Engineers,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Trey Davis,MEDA,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Fred Dreiling,Burns & McDonnell Engineering,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Mike Louis,Missouri AFL-CIO,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Jeff Aboussie,St. Louis Building Trades Council,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Michael Datillo,Missouri State Conference of IBEW,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Kevin Doern,"K-D Machine & Tool, Inc.",no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Doug Mertens,"Mertens Construction Company, Inc.",no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Michael Ryan,AZZ Central Electric Manufacturing,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Tony Privitera,Kansas City Power and Light,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Irl Scissors,Missouri for a Balanced Energy Future,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Larry Pleus,Laclede Gas Company,no
2013,140,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Jim Divincen,Lake of the Ozarks Lodging Association,no
2013,140,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Jim Judas,Central Bank of Lake of the Ozarks,no
2013,140,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Joseph Roeger,Lake Area Chamber of Commerce,no
2013,102,Will Kraus,R,"Commerce, Consumer Protection, Energy and the Environment",John Sharp,City of Kansas City,no
2013,102,Will Kraus,R,"Commerce, Consumer Protection, Energy and the Environment",Scott Wagner,City of Kansas City,no
2013,102,Will Kraus,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Recycle Missouri,no
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Recycle Missouri,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Ric Telthorst,Missouri Telecommunications Industry Association,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Scott Wagner,City of Kansas City,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Doug Galloway,CenturyLink,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Richard Sheets,Missouri Municipal League,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Joseph Jackson,City of Kansas City,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Janice Neitzert,Missouri Parks and Recreation Association,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Raynard Brown,"Advantage Metals Recycling, LLC",yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Sam Licklider,Missouri Association of Realtors,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Ewell Lawson,Missouri Association of Municipal Utilities,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Paul Snider,Kansas City Power and Light,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Craig Unruh,AT&T,yes
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",Scott Swain,Verizon,yes
2013,237,Ed Emery,R,"Commerce, Consumer Protection, Energy and the Environment",Doug Galloway,CenturyLink,yes
2013,237,Ed Emery,R,"Commerce, Consumer Protection, Energy and the Environment",Ric Telthorst,Missouri Telecommunications Industry Association,yes
2013,237,Ed Emery,R,"Commerce, Consumer Protection, Energy and the Environment",Larry D.,Windstream Communications,yes
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Steve Lindsey,Laclede Gas Company,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Rob Hack,Missouri Gas Energy,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Trey Davis,MEDA,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Craig Unruh,AT&T,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Doug Galloway,CenturyLink,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",?,Goodman Networks,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",Terry Jerrett,Missouri Public Service Commission,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",Larry Pleus,Laclede Gas Company,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",Fred Dreiling,Missouri Association of Municipal Utilities,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",Bob Jackson,City of Springfield Utilities,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",Frank Plescia,Missouri Industrial Energy Consumers,no
2013,275,Gina Walsh,D,"Commerce, Consumer Protection, Energy and the Environment",Matt Forck,Ameren Missouri,no
2013,299,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Edward Smith,Missouri Coalition for the Environment,no
2013,299,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Ginger Steinmetz,Missouri Conservation and Environmental Alliance,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",James Deutsch,Patriot Land Group,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Larry Rivers,Patriot Land Group,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Mike Michelson,Missouri Association of Elks,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Paul Connors,Patriot Land Group,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Frank Prosser,Missouri Association of Veterans Organizations,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Frank Prosser,American Legion,no
2013,357,Gary Romine,R,"Commerce, Consumer Protection, Energy and the Environment",Mark Rhoads,United Rentals,yes
2013,297,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Frank Kartmann,Missouri American Water,no
2013,297,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Trey Davis,MEDA,no
2013,361,Scott Rupp,R,"Commerce, Consumer Protection, Energy and the Environment",Chuck Gross,Duckett Creek,no
2013,361,Scott Rupp,R,"Commerce, Consumer Protection, Energy and the Environment",Richard Higgins,Duckett Creek,no
2013,361,Scott Rupp,R,"Commerce, Consumer Protection, Energy and the Environment",Kyna Iman,Metro St. Louis Sewer District,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Susan McCollum,Major Brands,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",John Riffle,Major Brands,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Mary Strate,MBWA,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Peter Hofierr,Missouri Grape and Wine Alliance,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Jason Gerke,Jowler Creek Winery Inc.,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Jason Gerke,Missouri Grape and Wine Alliance,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Rodney Boyd,City of St. Louis,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Daniel Kopman,Schlafly Beer,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Paul Snider,Kansas City Power and Light,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Susan Brown,Brightergy Solar,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Warren Wood,Ameren Missouri,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Zeke Fairbank,Alternative Energy Co.,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Steve Cande,GEXPRO,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Vaughn Prost,Missouri Solar Applications,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Paul Snider,Kansas City Power and Light,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Susan Brown,Brightergy Solar,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Warren Wood,Ameren Missouri,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Mike Palmer,Empire District Electric,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Jay Atkins,Missouri Department of Natural Resources,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Environmental Industry Association,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Randy Scherr,Mining Industry Council of Missouri,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Randy Scherr,Missouri Concrete Association,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Randy Scherr,Chemistry Council of Missouri,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",David Casaletto,Ozarks Water Watch Foundation,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Ewell Lawson,Missouri Association of Municipal Utilities,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Lynne Schlosser,Missouri Land Surveyors,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Lynne Schlosser,Missouri Environmental Defense Alliance,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Kyna Iman,St. Louis Metro,no
2013,417,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Ginger Steinmetz,Missouri Conservation and Environmental Alliance,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Walter Bazan Jr.,American Subcontractors Association of Missouri,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Timothy Weis,TJ Wies Contracting Inc.,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Timothy Weis,American Subcontractors Association of Missouri,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Timothy Weis,Wall and Ceiling Contractors Association,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Joe Hoette,SITE Improvement Association,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Shannon Cooper,Construction Employers Coalition,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Terry Briggs,SITE Improvement Association,no
2013,383,Wayne Wallingford,R,"Commerce, Consumer Protection, Energy and the Environment",Richard Barr,Engineering and Surveying,no
2013,368,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Charles Welegela,self,no
2013,368,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Steven R. Carroll,Missouri Solar Energy Industries Association,no
2013,368,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Carla Klein,Renew Missouri,no
2013,334,Scott Sifton,D,"Commerce, Consumer Protection, Energy and the Environment",Jim Busch,Missouri Public Service Commission,no
2013,335,Scott Sifton,D,"Commerce, Consumer Protection, Energy and the Environment",Jim Busch,Missouri Public Service Commission,no
2013,7,David Pearce,R,Education,Christine Guinter,Missouri National Education Association,no
2013,7,David Pearce,R,Education,Chris Nicastro,Missouri Department of Elementary and Secondary Education,no
2013,7,David Pearce,R,Education,Deanna Hemphill,Cooperating School Districts of Greater St. Louis,no
2013,7,David Pearce,R,Education,Brian Crouse,Missouri Chamber of Commerce and Industry,no
2013,7,David Pearce,R,Education,Michael Reid,Missouri School Boards' Association,no
2013,7,David Pearce,R,Education,Mike Lodewegen,Missouri School Administrators Coalition,no
2013,7,David Pearce,R,Education,Jim Moody,Civic Council of Greater Kansas City,no
2013,7,David Pearce,R,Education,Bernard Dubray,Ft. Zumwalt School,no
2013,7,David Pearce,R,Education,Norm Ridder,Springfield Public Schools,no
2013,3,Scott Rupp,R,Education,none,none,no
2013,9,David Pearce,R,Education,Walter Pfeffer,Mizzou Alumni Association,yes
2013,9,David Pearce,R,Education,Tom Rackers,Missouri Flagship Council,yes
2013,9,David Pearce,R,Education,Samantha Green,Associated Students of the University of Missouri,yes
2013,9,David Pearce,R,Education,Leslie Holloway,Missouri Farm Bureau,yes
2013,9,David Pearce,R,Education,Michael Ouart,University of Missouri,yes
2013,9,David Pearce,R,Education,H.C. Russell,University of Missouri Extension State Council,yes
2013,169,Maria Chappelle-Nadal,D,Education,Franc Flotron,self,no
2013,169,Maria Chappelle-Nadal,D,Education,Tricia Workman,Missouri Charter Public School Association,no
2013,169,Maria Chappelle-Nadal,D,Education,Jonathan Spetner,self,no
2013,169,Maria Chappelle-Nadal,D,Education,Michael Reid,Missouri School Boards' Association,no
2013,193,Kurt Schaefer,R,Education,Karen Hayer,Gifted Association of Missouri,no
2013,193,Kurt Schaefer,R,Education,Carl Peterson,self,no
2013,193,Kurt Schaefer,R,Education,Otto Fajen,Missouri National Education Association,no
2013,193,Kurt Schaefer,R,Education,Krista Meyer,Missouri State Teachers Association,no
2013,193,Kurt Schaefer,R,Education,Robin Lady,Gifted Association of Missouri,no
2013,193,Kurt Schaefer,R,Education,Michael Reid,Missouri School Boards' Association,no
2013,193,Kurt Schaefer,R,Education,Ray Cummings,American Federation of Teachers St. Louis Local 420,no
2013,125,Jamilah Nasheed,D,Education,Michael Reid,Missouri School Boards' Association,yes
2013,125,Jamilah Nasheed,D,Education,Mike Lodewegen,School Administrators Coalition,yes
2013,125,Jamilah Nasheed,D,Education,Lea Crusey,Students First,yes
2013,125,Jamilah Nasheed,D,Education,Katherine Casas,Childrens Education Council of Missouri,yes
2013,242,Mike Kehoe,R,Education,Michael Reid,Missouri School Boards' Association,no
2013,211,Scott Rupp,R,Education,Mary Lawrence,self,no
2013,211,Scott Rupp,R,Education,Amy Johnson,self,no
2013,211,Scott Rupp,R,Education,Veronica De La Garza,American Diabetes Association,no
2013,211,Scott Rupp,R,Education,Steven R. Carroll,Missouri Podiatric Medical Association,no
2013,132,Joseph Keaveny,D,Education,Steven R. Carroll,St. Louis Public Schools,no
2013,132,Joseph Keaveny,D,Education,Byron Clemons,American Federation of Teachers St. Louis,no
2013,132,Joseph Keaveny,D,Education,Michael Reid,Missouri School Boards' Association,no
2013,132,Joseph Keaveny,D,Education,Otto Fajen,Missouri National Education Association,no
2013,132,Joseph Keaveny,D,Education,Jay Hardenbrook,Child Care Aware,no
2013,132,Joseph Keaveny,D,Education,Tricia Workman,St. Louis Regional Chamber,no
2013,132,Joseph Keaveny,D,Education,Tricia Workman,Missouri Charter Public School Association,no
2013,132,Joseph Keaveny,D,Education,Jack Jensen,First Chance for Children,no
2013,132,Joseph Keaveny,D,Education,Mike Wood,Missouri State Teachers Association,no
2013,132,Joseph Keaveny,D,Education,Mike Lodewegen,School Administrators Coalition,no
2013,132,Joseph Keaveny,D,Education,Erin Brower,Partnership for Children,no
2013,132,Joseph Keaveny,D,Education,Kate Casas,Childrens Education Council of Missouri,no
2013,132,Joseph Keaveny,D,Education,Brian Crouse,Missouri Chamber of Commerce and Industry,no
2013,132,Joseph Keaveny,D,Education,Chris Nicastro,Missouri Department of Elementary and Secondary Education,no
2013,133,Joseph Keaveny,D,Education,Michael Reid,Missouri School Boards' Association,no
2013,133,Joseph Keaveny,D,Education,Otto Fajen,Missouri National Education Association,no
2013,133,Joseph Keaveny,D,Education,Jay Hardenbrook,Child Care Aware,no
2013,133,Joseph Keaveny,D,Education,Tricia Workman,St. Louis Regional Chamber,no
2013,133,Joseph Keaveny,D,Education,Tricia Workman,Missouri Charter Public School Association,no
2013,133,Joseph Keaveny,D,Education,Jack Jensen,First Chance for Children,no
2013,133,Joseph Keaveny,D,Education,Mike Wood,Missouri State Teachers Association,no
2013,133,Joseph Keaveny,D,Education,Mike Lodewegen,School Administrators Coalition,no
2013,133,Joseph Keaveny,D,Education,Erin Brower,Partnership for Children,no
2013,133,Joseph Keaveny,D,Education,Kate Casas,Childrens Education Council of Missouri,no
2013,133,Joseph Keaveny,D,Education,Brian Crouse,Missouri Chamber of Commerce and Industry,no
2013,133,Joseph Keaveny,D,Education,Chris Nicastro,Missouri Department of Elementary and Secondary Education,no
2013,133,Joseph Keaveny,D,Education,Steven R. Carroll,St. Louis Public Schools,no
2013,210,John Lamping,R,Education,Thomas Byrne,self,no
2013,210,John Lamping,R,Education,Elise Kostial,Concerned Women for America of Missouri,no
2013,210,John Lamping,R,Education,Bev Ehlen,Concerned Women for America of Missouri,no
2013,210,John Lamping,R,Education,Stacy Shore,self,no
2013,210,John Lamping,R,Education,Patricia Cole,self,no
2013,210,John Lamping,R,Education,James Shuls,Show Me Institute,no
2013,210,John Lamping,R,Education,Laura Martin,self,no
2013,210,John Lamping,R,Education,Anne Gassel,self,no
2013,210,John Lamping,R,Education,Jane Robbins,American Principles Project,no
2013,210,John Lamping,R,Education,Jane Robbins,American Principles Project,no
2013,210,John Lamping,R,Education,Bill Evers,Hoover Institution,no
2013,210,John Lamping,R,Education,Zeer Wurman,self,no
2013,210,John Lamping,R,Education,Sandra Stotsky,self,no
2013,210,John Lamping,R,Education,Emmett McGroarty,American Principles Project,no
2013,210,John Lamping,R,Education,Emmett McGroarty,American Principles Project,no
2013,210,John Lamping,R,Education,Kathryn Holloway,Concerned Women for America of Missouri,no
2013,293,David Pearce,R,Education,Kyna Iman,Missouri Southern State University,no
2013,293,David Pearce,R,Education,Mark Rhoads,Missouri Western State University,no
